time: 2000000000
416 1 1
416 2 1
416 3 1
416 4 1
416 5 1
416 6 1
416 7 1
416 8 1
416 9 1
416 10 1
416 11 1
416 12 1
416 13 1
416 14 1
416 15 1
416 16 1
416 17 1
416 18 1
416 19 1
416 20 1
416 21 1
416 22 1
416 23 1
416 24 1
416 25 1
416 26 1
416 27 1
416 28 1
416 29 1
416 30 1
416 31 1
416 32 1
417 1 1
417 2 1
417 3 1
417 4 1
417 5 1
417 6 1
417 7 1
417 8 1
417 9 1
417 10 1
417 11 1
417 12 1
417 13 1
417 14 1
417 15 1
417 16 1
417 17 1
417 18 1
417 19 1
417 20 1
417 21 1
417 22 1
417 23 1
417 24 1
417 25 1
417 26 1
417 27 1
417 28 1
417 29 1
417 30 1
417 31 1
417 32 1
418 1 1
418 2 1
418 3 1
418 4 1
418 5 1
418 6 1
418 7 1
418 8 1
418 9 1
418 10 1
418 11 1
418 12 1
418 13 1
418 14 1
418 15 1
418 16 1
418 17 1
418 18 1
418 19 1
418 20 1
418 21 1
418 22 1
418 23 1
418 24 1
418 25 1
418 26 1
418 27 1
418 28 1
418 29 1
418 30 1
418 31 1
418 32 1
419 1 1
419 2 1
419 3 1
419 4 1
419 5 1
419 6 1
419 7 1
419 8 1
419 9 1
419 10 1
419 11 1
419 12 1
419 13 1
419 14 1
419 15 1
419 16 1
419 17 1
419 18 1
419 19 1
419 20 1
419 21 1
419 22 1
419 23 1
419 24 1
419 25 1
419 26 1
419 27 1
419 28 1
419 29 1
419 30 1
419 31 1
419 32 1
420 1 1
420 2 1
420 3 1
420 4 1
420 5 1
420 6 1
420 7 1
420 8 1
420 9 1
420 10 1
420 11 1
420 12 1
420 13 1
420 14 1
420 15 1
420 16 1
420 17 1
420 18 1
420 19 1
420 20 1
420 21 1
420 22 1
420 23 1
420 24 1
420 25 1
420 26 1
420 27 1
420 28 1
420 29 1
420 30 1
420 31 1
420 32 1
421 1 1
421 2 1
421 3 1
421 4 1
421 5 1
421 6 1
421 7 1
421 8 1
421 9 1
421 10 1
421 11 1
421 12 1
421 13 1
421 14 1
421 15 1
421 16 1
421 17 1
421 18 1
421 19 1
421 20 1
421 21 1
421 22 1
421 23 1
421 24 1
421 25 1
421 26 1
421 27 1
421 28 1
421 29 1
421 30 1
421 31 1
421 32 1
422 1 1
422 2 1
422 3 1
422 4 1
422 5 1
422 6 1
422 7 1
422 8 1
422 9 1
422 10 1
422 11 1
422 12 1
422 13 1
422 14 1
422 15 1
422 16 1
422 17 1
422 18 1
422 19 1
422 20 1
422 21 1
422 22 1
422 23 1
422 24 1
422 25 1
422 26 1
422 27 1
422 28 1
422 29 1
422 30 1
422 31 1
422 32 1
423 1 1
423 2 1
423 3 1
423 4 1
423 5 1
423 6 1
423 7 1
423 8 1
423 9 1
423 10 1
423 11 1
423 12 1
423 13 1
423 14 1
423 15 1
423 16 1
423 17 1
423 18 1
423 19 1
423 20 1
423 21 1
423 22 1
423 23 1
423 24 1
423 25 1
423 26 1
423 27 1
423 28 1
423 29 1
423 30 1
423 31 1
423 32 1
424 1 1
424 2 1
424 3 1
424 4 1
424 5 1
424 6 1
424 7 1
424 8 1
424 9 1
424 10 1
424 11 1
424 12 1
424 13 1
424 14 1
424 15 1
424 16 1
424 17 1
424 18 1
424 19 1
424 20 1
424 21 1
424 22 1
424 23 1
424 24 1
424 25 1
424 26 1
424 27 1
424 28 1
424 29 1
424 30 1
424 31 1
424 32 1
425 1 1
425 2 1
425 3 1
425 4 1
425 5 1
425 6 1
425 7 1
425 8 1
425 9 1
425 10 1
425 11 1
425 12 1
425 13 1
425 14 1
425 15 1
425 16 1
425 17 1
425 18 1
425 19 1
425 20 1
425 21 1
425 22 1
425 23 1
425 24 1
425 25 1
425 26 1
425 27 1
425 28 1
425 29 1
425 30 1
425 31 1
425 32 1
426 1 1
426 2 1
426 3 1
426 4 1
426 5 1
426 6 1
426 7 1
426 8 1
426 9 1
426 10 1
426 11 1
426 12 1
426 13 1
426 14 1
426 15 1
426 16 1
426 17 1
426 18 1
426 19 1
426 20 1
426 21 1
426 22 1
426 23 1
426 24 1
426 25 1
426 26 1
426 27 1
426 28 1
426 29 1
426 30 1
426 31 1
426 32 1
427 1 1
427 2 1
427 3 1
427 4 1
427 5 1
427 6 1
427 7 1
427 8 1
427 9 1
427 10 1
427 11 1
427 12 1
427 13 1
427 14 1
427 15 1
427 16 1
427 17 1
427 18 1
427 19 1
427 20 1
427 21 1
427 22 1
